time,open,high,low,close,volume
2021-03-26 19:15:00,135.7,135.7,135.7,135.7,203
2021-03-26 19:00:00,135.7,135.7,135.7,135.7,112
2021-03-26 18:45:00,135.7,135.7,135.7,135.7,1135
2021-03-26 18:30:00,135.45,135.7,135.45,135.7,500
2021-03-26 18:00:00,135.7,135.7,135.7,135.7,998
2021-03-26 17:45:00,135.7,135.7,135.7,135.7,5041
2021-03-26 17:30:00,136.0,136.0,135.7,135.7,6881
2021-03-26 17:15:00,136.04,136.25,136.0,136.0,9200
2021-03-26 17:00:00,136.25,136.25,136.15,136.15,1029
2021-03-26 16:30:00,136.11,136.37,136.1,136.37,1794
2021-03-26 16:15:00,136.38,136.58,136.29,136.58,113570
2021-03-26 16:00:00,135.725,136.48,135.5825,136.3,641533
2021-03-26 15:45:00,135.77,136.1,135.695,135.725,328169
2021-03-26 15:30:00,135.6,135.82,135.6,135.77,146908
2021-03-26 15:15:00,135.55,135.78,135.5,135.595,190894
2021-03-26 15:00:00,135.57,135.59,135.02,135.56,258388
2021-03-26 14:45:00,135.29,135.75,135.27,135.56,356384
2021-03-26 14:30:00,134.88,135.31,134.7727,135.3,188810
2021-03-26 14:15:00,134.965,135.06,134.8,134.905,174351
2021-03-26 14:00:00,134.92,134.98,134.78,134.98,114929
2021-03-26 13:45:00,135.09,135.17,134.89,134.94,102864
2021-03-26 13:30:00,134.84,135.12,134.76,135.07,142447
2021-03-26 13:15:00,134.79,135.17,134.77,134.8598,314078
2021-03-26 13:00:00,134.82,134.89,134.65,134.7927,115422
2021-03-26 12:45:00,134.535,134.84,134.49,134.81,122495
2021-03-26 12:30:00,134.24,134.69,134.2109,134.5,140869
2021-03-26 12:15:00,134.3,134.4,134.17,134.219,85845
2021-03-26 12:00:00,134.36,134.36,134.15,134.32,107201
2021-03-26 11:45:00,134.32,134.43,134.25,134.35,89666
2021-03-26 11:30:00,134.3,134.35,134.11,134.31,110139
2021-03-26 11:15:00,134.07,134.34,134.06,134.31,92886
2021-03-26 11:00:00,133.82,134.35,133.82,134.05,126819
2021-03-26 10:45:00,134.42,134.47,133.78,133.83,185827
2021-03-26 10:30:00,134.31,134.58,134.25,134.4,138234
2021-03-26 10:15:00,133.955,134.31,133.78,134.3,186609
2021-03-26 10:00:00,133.71,133.99,133.12,133.97,135395
2021-03-26 09:45:00,133.29,133.85,133.17,133.72,368945
2021-03-26 09:30:00,133.47,133.6,133.45,133.45,2782
2021-03-26 09:15:00,133.26,133.29,133.26,133.29,1488
2021-03-26 08:45:00,133.23,133.23,133.23,133.23,1065
2021-03-26 08:15:00,133.4458,133.47,133.2331,133.46,2269
2021-03-26 08:00:00,133.36,133.36,133.35,133.35,340
2021-03-26 07:45:00,133.15,133.15,133.12,133.15,1575
2021-03-25 19:00:00,133.4,133.4,133.4,133.4,1096
2021-03-25 18:45:00,133.0,133.49,133.0,133.49,300
2021-03-25 18:30:00,133.0,133.0,133.0,133.0,129
2021-03-25 17:45:00,133.28,133.28,133.28,133.28,352
2021-03-25 16:45:00,133.24,133.24,133.24,133.24,269
2021-03-25 16:15:00,133.07,133.07,133.07,133.07,395656
2021-03-25 16:00:00,132.95,133.24,132.81,133.07,576109
2021-03-25 15:45:00,133.19,133.24,132.85,132.95,213208
2021-03-25 15:30:00,133.07,133.195,133.02,133.195,118249
2021-03-25 15:15:00,132.94,133.13,132.8285,133.06,130518
2021-03-25 15:00:00,133.13,133.14,132.87,132.95,114257
2021-03-25 14:45:00,132.64,133.17,132.53,133.14,166167
2021-03-25 14:30:00,132.86,132.87,132.58,132.61,88374
2021-03-25 14:15:00,132.65,132.82,132.51,132.82,80872
2021-03-25 14:00:00,133.1051,133.17,132.6,132.665,104177
2021-03-25 13:45:00,133.05,133.1381,132.73,133.1,157846
2021-03-25 13:30:00,132.82,133.22,132.79,133.0499,235015
2021-03-25 13:15:00,132.62,132.8364,132.37,132.83,126148
2021-03-25 13:00:00,132.43,132.66,132.39,132.64,89588
2021-03-25 12:45:00,132.385,132.49,132.215,132.43,120686
2021-03-25 12:30:00,132.07,132.4699,132.07,132.4,147008
2021-03-25 12:15:00,132.41,132.42,131.92,132.07,128615
2021-03-25 12:00:00,131.94,132.43,131.83,132.41,144475
2021-03-25 11:45:00,132.09,132.255,131.895,131.93,105915
2021-03-25 11:30:00,132.22,132.22,131.84,132.09,153425
2021-03-25 11:15:00,131.89,132.27,131.77,132.21,242826
2021-03-25 11:00:00,131.365,131.92,131.3,131.89,264192
2021-03-25 10:45:00,131.13,131.39,131.03,131.37,167337
2021-03-25 10:30:00,130.83,131.18,130.74,131.11,127361
2021-03-25 10:15:00,130.15,130.88,130.13,130.828,127569
2021-03-25 10:00:00,129.865,130.21,129.81,130.11,165870
2021-03-25 09:45:00,130.33,130.82,129.77,129.8775,347276
2021-03-25 09:30:00,130.37,130.37,129.71,129.72,2905
2021-03-25 09:15:00,130.37,130.37,130.0,130.0,3998
2021-03-25 09:00:00,130.02,130.03,130.0,130.0,966
2021-03-25 08:45:00,130.56,130.56,130.0,130.0,873
2021-03-25 08:30:00,130.0,130.0,130.0,130.0,209
2021-03-25 08:15:00,130.06,130.3,129.9,129.9,1193
2021-03-24 20:00:00,131.0,131.0,131.0,131.0,1047
2021-03-24 19:00:00,130.63,130.63,130.63,130.63,1000
2021-03-24 18:45:00,130.65,130.65,130.62,130.62,1771
2021-03-24 18:00:00,130.8,130.8,130.8,130.8,300
2021-03-24 17:45:00,130.7,130.7,130.7,130.7,459
2021-03-24 16:45:00,130.99,130.99,130.62,130.75,98365
2021-03-24 16:30:00,130.75,130.75,130.46,130.75,871
2021-03-24 16:15:00,130.62,131.14,130.52,130.88,332417
2021-03-24 16:00:00,130.91,131.01,130.57,130.57,332955
2021-03-24 15:45:00,131.04,131.12,130.85,130.9,136879
2021-03-24 15:30:00,131.0,131.21,130.9001,131.04,100418
2021-03-24 15:15:00,130.94,131.1334,130.86,130.98,87981
2021-03-24 15:00:00,131.04,131.2,130.89,130.93,91088
2021-03-24 14:45:00,131.21,131.24,131.04,131.04,90173
2021-03-24 14:30:00,131.4097,131.47,131.225,131.24,83222
2021-03-24 14:15:00,131.45,131.49,131.3026,131.37,55059
2021-03-24 14:00:00,131.16,131.47,131.14,131.45,105591
2021-03-24 13:45:00,131.26,131.33,131.16,131.17,67724
2021-03-24 13:30:00,131.2802,131.29,131.11,131.26,64977
2021-03-24 13:15:00,131.7,131.7,131.27,131.3166,86722
2021-03-24 13:00:00,131.75,131.77,131.5364,131.69,59052
2021-03-24 12:45:00,131.62,131.76,131.52,131.74,80903
2021-03-24 12:30:00,131.53,131.83,131.52,131.63,91042
2021-03-24 12:15:00,131.4,131.66,131.3938,131.53,126185
2021-03-24 12:00:00,131.4839,131.535,131.35,131.38,99126
2021-03-24 11:45:00,131.37,131.58,131.32,131.5,89564
2021-03-24 11:30:00,131.69,131.72,131.311,131.365,116438
2021-03-24 11:15:00,131.72,131.79,131.41,131.6936,168555
2021-03-24 11:00:00,131.665,131.93,131.65,131.71,98663
2021-03-24 10:45:00,131.95,132.02,131.65,131.67,120219
2021-03-24 10:30:00,132.05,132.075,131.77,131.96,86769
2021-03-24 10:15:00,131.5405,132.11,131.5405,132.03,137158
2021-03-24 10:00:00,131.64,131.82,131.24,131.5109,156296
2021-03-24 09:45:00,130.95,131.8,130.8,131.61,285496
2021-03-24 09:30:00,130.79,130.79,130.79,130.79,105
2021-03-24 09:15:00,130.61,130.98,130.61,130.98,413
2021-03-24 08:45:00,130.8,130.8,130.75,130.79,660
